id,last,first,ins,time,title,abstract
1,Clyde, Merlise,Duke University,,,
2,Dawid, Philip,University of Cambridge,,,
3,Donoho, David,Stanford University,,,
4,Foster, Dean,Amazon,,,
5,McCulloch, Rob,Arizona State University,,,
6,Reid, Nancy,University of Toronto,,,
7,Robert, Chris,Université Paris-Dauphine,,,
8,Rockova, Veronika,University of Chicago,,,
9,Rousseau, Judith,University of Oxford,,,
10,Samworth, Richard,University of Cambridge,,,
11,Strawderman, Bill,Rutgers University,,,
12,van der Vaart, Aad,Leiden University,,,
13,Wasserman, Larry,Carnegie Mellon University,,,
14,Xu, Xinyi,Ohio State University,,,
